MONTH,SERVICE_CATEGORY,CLAIM_SPECIALTY,PAYER,PAID_AMOUNT
2018-04-01,InpatientServices,,Payer CA,15569
2018-04-01,InpatientServices,,Payer UN,1939
2018-04-01,InpatientServices,,Payer CA,274
2018-04-01,InpatientServices,,Payer CO,1756
2018-04-01,InpatientServices,,Payer F,2911
2018-04-01,InpatientServices,,Payer O,379
2018-04-01,InpatientServices,pathology,Payer B,818
2018-04-01,InpatientServices,pathology,Payer CA,21868
2018-04-01,InpatientServices,pathology,Payer CO,3446
2018-04-01,InpatientServices,pathology,Payer F,39600
2018-04-01,InpatientServices,pathology,Payer O,18596
2018-04-01,InpatientServices,pathology,Payer S,3256
2018-04-01,InpatientServices,pathology,Payer UN,1684
2018-04-01,InpatientServices,pathology,Payer W,3863
2018-04-01,InpatientServices,anatomic pathology,Payer S,2043
2018-04-01,InpatientServices,pathology,Payer S,146
2018-04-01,InpatientServices,surgery pediatric,Payer F,1457
2018-04-01,InpatientServices,pediatric,Payer CA,1056
2018-04-01,InpatientServices,radiology pediatric,Payer S,621
2018-04-01,InpatientServices,rehab physical,Payer F,14551
2018-04-01,InpatientServices,rehab physical,Payer O,17641
2018-04-01,InpatientServices,rehab physical,Payer CA,4947
2018-04-01,InpatientServices,rehab physical,Payer CO,1753
2018-04-01,InpatientServices,rehab physical,Payer S,5325
2018-04-01,InpatientServices,rehab physical,Payer B,6511
2018-04-01,InpatientServices,therapy physical,Payer CA,13708
2018-04-01,InpatientServices,physical,Payer CO,1803
2018-04-01,InpatientServices,physical,Payer H,23640
2018-04-01,InpatientServices,physical,Payer UN,1400
2018-04-01,InpatientServices,physical,Payer CA,17699
2018-04-01,InpatientServices,surgery plastic,Payer CA,607
2018-04-01,InpatientServices,surgery plastic,Payer F,8999
2018-04-01,InpatientServices,surgery plastic,Payer O,16270
2018-04-01,InpatientServices,pediatric,Payer H,1431
2018-04-01,InpatientServices,surgery pediatric,Payer S,6712
2018-04-01,InpatientServices,pediatric,Payer CA,5727
2018-04-01,InpatientServices,pediatric,Payer F,17361
2018-04-01,InpatientServices,,Payer H,62732
2018-04-01,InpatientServices,psychiatry,Payer CA,0
2018-04-01,InpatientServices,psychiatry,Payer F,2419
2018-04-01,InpatientServices,psychiatry,Payer O,8708
2018-04-01,InpatientServices,psychiatry,Payer W,14503
2018-04-01,InpatientServices,psychology,Payer W,1117
2018-04-01,InpatientServices,pulmonary,Payer F,879929
2018-04-01,InpatientServices,pulmonary,Payer O,211352
2018-04-01,InpatientServices,pulmonary,Payer B,973
2018-04-01,InpatientServices,pulmonary,Payer CA,169394
2018-04-01,InpatientServices,pulmonary,Payer CO,10652
2018-04-01,InpatientServices,pulmonary,Payer S,1195
2018-04-01,InpatientServices,pulmonary,Payer W,46908
2018-04-01,InpatientServices,radiology oncology,Payer CA,200
2018-04-01,InpatientServices,radiology oncology,Payer F,10285
2018-04-01,InpatientServices,radiology,Payer W,14265
2018-04-01,InpatientServices,radiology,Payer B,1503
2018-04-01,InpatientServices,radiology,Payer CA,62067
2018-04-01,InpatientServices,radiology,Payer CO,4240
2018-04-01,InpatientServices,radiology,Payer F,322818
2018-04-01,InpatientServices,radiology,Payer O,50100
2018-04-01,InpatientServices,radiology,Payer UN,1915
2018-04-01,InpatientServices,radiology,Payer W,36576
2018-04-01,InpatientServices,radiology diagnostic,Payer UN,593
2018-04-01,InpatientServices,radiology diagnostic,Payer S,4547
2018-04-01,InpatientServices,nurse,Payer S,242
2018-04-01,InpatientServices,rehab,Payer H,36713
2018-04-01,InpatientServices,rehab,Payer CA,161479
2018-04-01,InpatientServices,rehab,Payer B,61927
2018-04-01,InpatientServices,,Payer CA,0
2018-04-01,InpatientServices,rheumatology,Payer B,1611
2018-04-01,InpatientServices,nurse,Payer CA,2788
2018-04-01,InpatientServices,,Payer O,2546
2018-04-01,InpatientServices,,Payer H,8883
2018-04-01,InpatientServices,sports,Payer CA,4293
2018-04-01,InpatientServices,critical,Payer CA,3009
2018-04-01,InpatientServices,,Payer CO,1622
2018-04-01,InpatientServices,cardiothoracic surgery,Payer UN,10303
2018-04-01,InpatientServices,surgery thoracic,Payer UN,1782
2018-04-01,InpatientServices,critical surgery,Payer S,0
2018-04-01,InpatientServices,surgery,Payer S,223
2018-04-01,InpatientServices,surgery neurology,Payer S,7498
2018-04-01,InpatientServices,surgery orthopedic,Payer S,6447
2018-04-01,InpatientServices,oncology surgery,Payer F,363
2018-04-01,InpatientServices,surgery,Payer B,457
2018-04-01,InpatientServices,critical surgery,Payer F,22278
2018-04-01,InpatientServices,critical surgery,Payer O,2844
2018-04-01,InpatientServices,oncology surgery,Payer CA,6947
2018-04-01,InpatientServices,oncology surgery,Payer CO,12496
2018-04-01,InpatientServices,,Payer S,587
2018-04-01,InpatientServices,surgery thoracic cardiovascular,Payer W,11262
2018-04-01,InpatientServices,surgery thoracic,Payer CA,1099
2018-04-01,InpatientServices,surgery thoracic,Payer F,32762
2018-04-01,InpatientServices,surgery thoracic,Payer O,4751
2018-04-01,InpatientServices,,Payer W,888
2018-04-01,InpatientServices,urology,Payer B,1548
2018-04-01,InpatientServices,urology,Payer CA,12968
2018-04-01,InpatientServices,urology,Payer CO,1364
2018-04-01,InpatientServices,urology,Payer F,29332
2018-04-01,InpatientServices,urology,Payer O,17072
2018-04-01,InpatientServices,urology,Payer UN,9588
2018-04-01,InpatientServices,urology,Payer W,40712
2018-04-01,InpatientServices,radiology vascular interventional,Payer F,2225
2018-04-01,InpatientServices,vascular surgery,Payer B,1447
2018-04-01,InpatientServices,vascular surgery,Payer CA,10637
2018-04-01,InpatientServices,vascular surgery,Payer F,61303
2018-04-01,InpatientServices,vascular surgery,Payer O,11215
2018-04-01,InpatientServices,vascular surgery,Payer W,33971
2018-04-01,InpatientServices,physical,Payer CA,5183
2018-04-01,OutpatientServices,,Payer F,568
2018-04-01,OutpatientServices,,Payer CA,1311
2018-04-01,OutpatientServices,ambulatory,Payer S,14234
2018-04-01,OutpatientServices,ambulatory surgery,Payer S,29451
2018-04-01,OutpatientServices,,Payer W,494
2018-04-01,OutpatientServices,,Payer CA,2372
2018-04-01,OutpatientServices,anesthesiology,Payer H,46029
2018-04-01,OutpatientServices,anesthesiology,Payer B,3968
2018-04-01,OutpatientServices,anesthesiology,Payer CA,112550
2018-04-01,OutpatientServices,anesthesiology,Payer CO,10069
2018-04-01,OutpatientServices,anesthesiology,Payer F,215249
2018-04-01,OutpatientServices,anesthesiology,Payer O,52954
2018-04-01,OutpatientServices,anesthesiology,Payer UN,5521
2018-04-01,OutpatientServices,anesthesiology,Payer W,24572
2018-04-01,OutpatientServices,,Payer CA,1159
2018-04-01,OutpatientServices,cardiology electrophysiology,Payer CA,6342
2018-04-01,OutpatientServices,electrophysiology,Payer F,58917
2018-04-01,OutpatientServices,electrophysiology,Payer O,2923
2018-04-01,OutpatientServices,electrophysiology,Payer W,3830
2018-04-01,OutpatientServices,cardiology,Payer CA,11322
2018-04-01,OutpatientServices,cardiology,Payer CO,1121
2018-04-01,OutpatientServices,cardiology,Payer F,133656
2018-04-01,OutpatientServices,cardiology,Payer O,59112
2018-04-01,OutpatientServices,cardiology,Payer UN,333
2018-04-01,OutpatientServices,cardiology,Payer W,38647
2018-04-01,OutpatientServices,,Payer B,1582
2018-04-01,OutpatientServices,cardiothoracic surgery,Payer F,1020
2018-04-01,OutpatientServices,cardiothoracic surgery,Payer O,4638
2018-04-01,OutpatientServices,cardiovascular,Payer S,2310
2018-04-01,OutpatientServices,surgery cardiovascular,Payer CA,15956
2018-04-01,OutpatientServices,surgery cardiovascular,Payer CO,9814
2018-04-01,OutpatientServices,anesthesiology nurse,Payer B,2882
2018-04-01,OutpatientServices,,Payer CO,46
2018-04-01,OutpatientServices,colon surgery rectal,Payer W,622
2018-04-01,OutpatientServices,colorectal surgery,Payer F,283
2018-04-01,OutpatientServices,colorectal surgery,Payer O,209
2018-04-01,OutpatientServices,mental,Payer W,260
2018-04-01,OutpatientServices,critical,Payer CA,402
2018-04-01,OutpatientServices,critical,Payer F,699
2018-04-01,OutpatientServices,critical,Payer O,385
2018-04-01,OutpatientServices,diagnostic,Payer H,1076
2018-04-01,OutpatientServices,diagnostic radiology,Payer CA,23474
2018-04-01,OutpatientServices,diagnostic radiology,Payer CO,3598
2018-04-01,OutpatientServices,dialysis,Payer H,152415
2018-04-01,OutpatientServices,,Payer CA,9357
2018-04-01,OutpatientServices,emergency,Payer F,303
2018-04-01,OutpatientServices,emergency,Payer O,7816
2018-04-01,OutpatientServices,emergency,Payer UN,66
2018-04-01,OutpatientServices,emergency,Payer S,337785
2018-04-01,OutpatientServices,emergency,Payer CA,1603
2018-04-01,OutpatientServices,endocrinology,Payer CO,280
2018-04-01,OutpatientServices,endocrinology,Payer F,1921
2018-04-01,OutpatientServices,,Payer CA,11967
2018-04-01,OutpatientServices,,Payer F,25705
2018-04-01,OutpatientServices,,Payer O,4119
2018-04-01,OutpatientServices,,Payer W,8695
2018-04-01,OutpatientServices,family,Payer B,614
2018-04-01,OutpatientServices,family,Payer CA,3220
2018-04-01,OutpatientServices,family,Payer F,23742
2018-04-01,OutpatientServices,family,Payer O,3131
2018-04-01,OutpatientServices,family,Payer UN,582
2018-04-01,OutpatientServices,family,Payer W,3288
2018-04-01,OutpatientServices,gastroenterology,Payer B,1356
2018-04-01,OutpatientServices,gastroenterology,Payer CA,10588
2018-04-01,OutpatientServices,gastroenterology,Payer CO,4556
2018-04-01,OutpatientServices,gastroenterology,Payer F,31896
2018-04-01,OutpatientServices,gastroenterology,Payer O,6476
2018-04-01,OutpatientServices,gastroenterology,Payer UN,5013
2018-04-01,OutpatientServices,gastroenterology,Payer W,3966
2018-04-01,OutpatientServices,,Payer S,31038
2018-04-01,OutpatientServices,,Payer UN,1384
2018-04-01,OutpatientServices,,Payer W,1426
2018-04-01,OutpatientServices,surgery,Payer B,3859
2018-04-01,OutpatientServices,surgery,Payer CA,56603
2018-04-01,OutpatientServices,surgery,Payer CO,3902
2018-04-01,OutpatientServices,surgery,Payer F,151222
2018-04-01,OutpatientServices,surgery,Payer O,39516
2018-04-01,OutpatientServices,surgery,Payer UN,5310
2018-04-01,OutpatientServices,surgery,Payer W,8039
2018-04-01,OutpatientServices,,Payer F,709
2018-04-01,OutpatientServices,,Payer S,3352
2018-04-01,OutpatientServices,oncology gynecology,Payer F,7017
2018-04-01,OutpatientServices,gynecology,Payer CA,4501
2018-04-01,OutpatientServices,gynecology,Payer F,16136
2018-04-01,OutpatientServices,gynecology,Payer O,4630
2018-04-01,OutpatientServices,,Payer W,365
2018-04-01,OutpatientServices,hematology,Payer F,2503
2018-04-01,OutpatientServices,,Payer CA,5717
2018-04-01,OutpatientServices,,Payer CO,735
2018-04-01,OutpatientServices,,Payer F,9596
2018-04-01,OutpatientServices,,Payer O,1859
2018-04-01,OutpatientServices,,Payer S,3307
2018-04-01,OutpatientServices,,Payer W,902
2018-04-01,OutpatientServices,,Payer CO,1420
2018-04-01,OutpatientServices,,Payer UN,94816
2018-04-01,OutpatientServices,,Payer F,649
2018-04-01,OutpatientServices,palliative,Payer O,472
2018-04-01,OutpatientServices,,Payer CA,2983076
2018-04-01,OutpatientServices,,Payer CO,122524
2018-04-01,OutpatientServices,,Payer H,3194460
2018-04-01,OutpatientServices,,Payer S,3110
2018-04-01,OutpatientServices,,Payer UN,103341
2018-04-01,OutpatientServices,,Payer W,63853
2018-04-01,OutpatientServices,,Payer B,84137
2018-04-01,OutpatientServices,,Payer CO,18588
2018-04-01,OutpatientServices,,Payer F,28487
2018-04-01,OutpatientServices,,Payer O,18428
2018-04-01,OutpatientServices,,Payer S,1390
2018-04-01,OutpatientServices,,Payer UN,864
2018-04-01,OutpatientServices,,Payer W,4432
2018-04-01,OutpatientServices,infectious,Payer F,5021
2018-04-01,OutpatientServices,infectious,Payer O,4998
2018-04-01,OutpatientServices,infectious,Payer CA,5650
2018-04-01,OutpatientServices,infectious,Payer CO,396
2018-04-01,OutpatientServices,,Payer B,449
2018-04-01,OutpatientServices,,Payer CA,26903
2018-04-01,OutpatientServices,,Payer CO,43
2018-04-01,OutpatientServices,,Payer F,60885
2018-04-01,OutpatientServices,,Payer O,51305
2018-04-01,OutpatientServices,,Payer S,810
2018-04-01,OutpatientServices,,Payer UN,22
2018-04-01,OutpatientServices,,Payer W,14991
2018-04-01,OutpatientServices,cardiovascular,Payer S,1045
2018-04-01,OutpatientServices,,Payer S,0
2018-04-01,OutpatientServices,interventional cardiology,Payer CA,8051
2018-04-01,OutpatientServices,interventional cardiology,Payer F,103485
2018-04-01,OutpatientServices,interventional cardiology,Payer O,11908
2018-04-01,OutpatientServices,interventional cardiology,Payer W,948
2018-04-01,OutpatientServices,radiology interventional,Payer CA,3098
2018-04-01,OutpatientServices,radiology interventional,Payer F,3668
2018-04-01,OutpatientServices,radiology interventional,Payer O,1590
2018-04-01,OutpatientServices,laboratory,Payer CA,1811
2018-04-01,OutpatientServices,laboratory,Payer UN,126
2018-04-01,OutpatientServices,laboratory,Payer W,394
2018-04-01,OutpatientServices,,Payer H,194952
2018-04-01,OutpatientServices,,Payer W,458
2018-04-01,OutpatientServices,neurology,Payer CA,450
2018-04-01,OutpatientServices,neurology,Payer F,4593
2018-04-01,OutpatientServices,neurology,Payer S,669
2018-04-01,OutpatientServices,surgery neurology,Payer B,6750
2018-04-01,OutpatientServices,neurology,Payer CA,6070
2018-04-01,OutpatientServices,neurology,Payer CO,844
2018-04-01,OutpatientServices,neurology,Payer F,10773
2018-04-01,OutpatientServices,neurology,Payer O,7652
2018-04-01,OutpatientServices,neurology,Payer W,222
2018-04-01,OutpatientServices,neuroradiology,Payer CA,352
2018-04-01,OutpatientServices,neurosurgery,Payer F,43796
2018-04-01,OutpatientServices,neurosurgery,Payer O,6724
2018-04-01,OutpatientServices,neurosurgery,Payer UN,1342
2018-04-01,OutpatientServices,nuclear cardiology,Payer CA,0
2018-04-01,OutpatientServices,nuclear,Payer F,140
2018-04-01,OutpatientServices,anesthesiology nurse,Payer S,816
2018-04-01,OutpatientServices,nurse,Payer CA,91
2018-04-01,OutpatientServices,nurse,Payer CO,1287
2018-04-01,OutpatientServices,nurse,Payer UN,392
2018-04-01,OutpatientServices,nurse,Payer H,7006
2018-04-01,OutpatientServices,obstetrics gynecology,Payer CA,5011
2018-04-01,OutpatientServices,obstetrics gynecology,Payer F,1642
2018-04-01,OutpatientServices,obstetrics gynecology,Payer O,3951
2018-04-01,OutpatientServices,obstetrics gynecology,Payer W,5811
2018-04-01,OutpatientServices,oncology,Payer B,269
2018-04-01,OutpatientServices,oncology,Payer CA,4869
2018-04-01,OutpatientServices,oncology,Payer F,954
2018-04-01,OutpatientServices,oncology,Payer O,454
2018-04-01,OutpatientServices,ophthalmology,Payer CA,8379
2018-04-01,OutpatientServices,ophthalmology,Payer F,374
2018-04-01,OutpatientServices,ophthalmology,Payer O,3181
2018-04-01,OutpatientServices,orthopedic,Payer CA,7850
2018-04-01,OutpatientServices,surgery orthopedic,Payer CA,21508
2018-04-01,OutpatientServices,surgery orthopedic,Payer F,98152
2018-04-01,OutpatientServices,surgery orthopedic,Payer O,59891
2018-04-01,OutpatientServices,surgery orthopedic,Payer UN,1646
2018-04-01,OutpatientServices,surgery orthopedic,Payer W,8117
2018-04-01,OutpatientServices,osteopath,Payer H,3578
2018-04-01,OutpatientServices,,Payer UN,0
2018-04-01,OutpatientServices,otolaryngology surgery plastic,Payer F,2614
2018-04-01,OutpatientServices,,Payer F,5530674
2018-04-01,OutpatientServices,,Payer O,1459527
2018-04-01,OutpatientServices,,Payer CO,568
2018-04-01,OutpatientServices,,Payer F,1974
2018-04-01,OutpatientServices,,Payer W,1760
2018-04-01,OutpatientServices,pathology,Payer B,1180
2018-04-01,OutpatientServices,pathology,Payer CA,19170
2018-04-01,OutpatientServices,pathology,Payer CO,9892
2018-04-01,OutpatientServices,pathology,Payer F,76095
2018-04-01,OutpatientServices,pathology,Payer O,15040
2018-04-01,OutpatientServices,pathology,Payer S,950
2018-04-01,OutpatientServices,pathology,Payer UN,2222
2018-04-01,OutpatientServices,pathology,Payer W,2757
2018-04-01,OutpatientServices,anatomic pathology,Payer S,639
2018-04-01,OutpatientServices,,Payer W,3880
2018-04-01,OutpatientServices,,Payer W,455
2018-04-01,OutpatientServices,pediatric,Payer UN,4154
2018-04-01,OutpatientServices,pediatric cardiology,Payer S,434
2018-04-01,OutpatientServices,physical,Payer B,953
2018-04-01,OutpatientServices,physical,Payer H,1587
2018-04-01,OutpatientServices,physical,Payer CA,6003
2018-04-01,OutpatientServices,surgery plastic,Payer CA,20599
2018-04-01,OutpatientServices,surgery plastic,Payer F,11990
2018-04-01,OutpatientServices,surgery plastic,Payer O,4899
2018-04-01,OutpatientServices,pediatric,Payer O,226
2018-04-01,OutpatientServices,pediatric,Payer UN,1854
2018-04-01,OutpatientServices,psychiatry,Payer F,1664
2018-04-01,OutpatientServices,psychiatry,Payer W,1197
2018-04-01,OutpatientServices,,Payer CO,576
2018-04-01,OutpatientServices,pulmonary,Payer F,14008
2018-04-01,OutpatientServices,pulmonary,Payer O,2799
2018-04-01,OutpatientServices,pulmonary,Payer CA,5409
2018-04-01,OutpatientServices,pulmonary,Payer CO,154
2018-04-01,OutpatientServices,pulmonary,Payer W,32
2018-04-01,OutpatientServices,radiology oncology,Payer CA,2321
2018-04-01,OutpatientServices,radiology oncology,Payer CO,73
2018-04-01,OutpatientServices,radiology oncology,Payer F,35102
2018-04-01,OutpatientServices,radiology,Payer W,3450
2018-04-01,OutpatientServices,radiology,Payer S,457
2018-04-01,OutpatientServices,radiology,Payer B,723
2018-04-01,OutpatientServices,radiology,Payer CA,56154
2018-04-01,OutpatientServices,radiology,Payer CO,2454
2018-04-01,OutpatientServices,radiology,Payer F,106149
2018-04-01,OutpatientServices,radiology,Payer O,43016
2018-04-01,OutpatientServices,radiology,Payer S,345
2018-04-01,OutpatientServices,radiology,Payer UN,1219
2018-04-01,OutpatientServices,radiology,Payer W,43954
2018-04-01,OutpatientServices,radiology diagnostic,Payer UN,499
2018-04-01,OutpatientServices,radiology diagnostic,Payer S,4189
2018-04-01,OutpatientServices,radiology vascular interventional,Payer S,49
2018-04-01,OutpatientServices,nurse,Payer S,991
2018-04-01,OutpatientServices,rehab,Payer UN,311
2018-04-01,OutpatientServices,nurse,Payer CO,408
2018-04-01,OutpatientServices,nurse,Payer UN,5220
2018-04-01,OutpatientServices,,Payer S,0
2018-04-01,OutpatientServices,,Payer H,1769
2018-04-01,OutpatientServices,surgery cardiovascular,Payer S,90
2018-04-01,OutpatientServices,surgery,Payer S,0
2018-04-01,OutpatientServices,surgery neurology,Payer S,0
2018-04-01,OutpatientServices,oncology surgery,Payer F,6238
2018-04-01,OutpatientServices,critical surgery,Payer F,906
2018-04-01,OutpatientServices,critical surgery,Payer O,595
2018-04-01,OutpatientServices,oncology surgery,Payer CA,391
2018-04-01,OutpatientServices,oncology surgery,Payer F,738
2018-04-01,OutpatientServices,oncology surgery,Payer W,2922
2018-04-01,OutpatientServices,surgery thoracic cardiovascular,Payer W,0
2018-04-01,OutpatientServices,surgery thoracic,Payer CA,8906
2018-04-01,OutpatientServices,surgery thoracic,Payer F,426
2018-04-01,OutpatientServices,,Payer F,3013
2018-04-01,OutpatientServices,,Payer CO,1821
2018-04-01,OutpatientServices,urology,Payer B,970
2018-04-01,OutpatientServices,urology,Payer CA,8181
2018-04-01,OutpatientServices,urology,Payer CO,7498
2018-04-01,OutpatientServices,urology,Payer F,73712
2018-04-01,OutpatientServices,urology,Payer O,11226
2018-04-01,OutpatientServices,urology,Payer W,9014
2018-04-01,OutpatientServices,radiology vascular interventional,Payer F,5999
2018-04-01,OutpatientServices,vascular surgery,Payer CA,3120
2018-04-01,OutpatientServices,vascular surgery,Payer F,13218
2018-04-01,OutpatientServices,vascular surgery,Payer O,11377
2018-04-01,OutpatientServices,vision,Payer O,7096
2018-04-01,OutpatientServices,,Payer W,6097
2018-04-01,PCPEncounter,,Payer CA,0
2018-04-01,PCPEncounter,cardiology,Payer UN,0
2018-04-01,PCPEncounter,chiropractic,Payer UN,0
2018-04-01,PCPEncounter,family,Payer B,0
2018-04-01,PCPEncounter,family,Payer CA,0
2018-04-01,PCPEncounter,family,Payer CO,469
2018-04-01,PCPEncounter,family,Payer F,0
2018-04-01,PCPEncounter,family,Payer O,0
2018-04-01,PCPEncounter,family,Payer UN,0
2018-04-01,PCPEncounter,family,Payer W,0
2018-04-01,PCPEncounter,gastroenterology,Payer UN,0
2018-04-01,PCPEncounter,,Payer B,0
2018-04-01,PCPEncounter,,Payer CA,0
2018-04-01,PCPEncounter,,Payer F,0
2018-04-01,PCPEncounter,,Payer O,0
2018-04-01,PCPEncounter,,Payer W,0
2018-04-01,PCPEncounter,,Payer B,0
2018-04-01,PCPEncounter,,Payer F,0
2018-04-01,PCPEncounter,,Payer W,0
2018-04-01,PCPEncounter,,Payer CA,0
2018-04-01,PCPEncounter,,Payer B,0
2018-04-01,PCPEncounter,,Payer CA,0
2018-04-01,PCPEncounter,,Payer F,0
2018-04-01,PCPEncounter,,Payer O,0
2018-04-01,PCPEncounter,,Payer UN,0
2018-04-01,PCPEncounter,,Payer W,0
2018-04-01,PCPEncounter,,Payer H,0
2018-04-01,PCPEncounter,neurology,Payer UN,0
2018-04-01,PCPEncounter,optometry,Payer UN,0
2018-04-01,PCPEncounter,surgery orthopedic,Payer UN,0
2018-04-01,PCPEncounter,,Payer UN,0
2018-04-01,PCPEncounter,therapy physical,Payer UN,0
2018-04-01,PCPEncounter,pediatric,Payer UN,0
2018-04-01,PCPEncounter,radiology,Payer UN,0
2018-04-01,PCPEncounter,radiology diagnostic,Payer UN,0
2018-04-01,PCPEncounter,,Payer UN,0
2018-04-01,PCPFFS,,Payer F,326954
2018-04-01,PCPFFS,,Payer O,9093
2018-04-01,PCPFFS,,Payer CA,973
2018-04-01,PCPFFS,,Payer UN,428
2018-04-01,PCPFFS,cardiology,Payer UN,8262
2018-04-01,PCPFFS,chiropractic,Payer UN,514
2018-04-01,PCPFFS,dermatology,Payer UN,7611
2018-04-01,PCPFFS,,Payer UN,47
2018-04-01,PCPFFS,laboratory,Payer UN,2369
2018-04-01,PCPFFS,family,Payer B,17081
2018-04-01,PCPFFS,family,Payer CA,180178
2018-04-01,PCPFFS,family,Payer CO,3970
2018-04-01,PCPFFS,family,Payer F,116345
2018-04-01,PCPFFS,family,Payer O,490300
2018-04-01,PCPFFS,family,Payer UN,11297
2018-04-01,PCPFFS,family,Payer W,11935
2018-04-01,PCPFFS,gastroenterology,Payer UN,992
2018-04-01,PCPFFS,,Payer B,3706
2018-04-01,PCPFFS,,Payer CA,163987
2018-04-01,PCPFFS,,Payer F,152079
2018-04-01,PCPFFS,,Payer O,6344
2018-04-01,PCPFFS,,Payer UN,971
2018-04-01,PCPFFS,,Payer W,63439
2018-04-01,PCPFFS,,Payer B,3829
2018-04-01,PCPFFS,,Payer F,1681
2018-04-01,PCPFFS,gynecology,Payer UN,47
2018-04-01,PCPFFS,,Payer CA,27063
2018-04-01,PCPFFS,,Payer B,21512
2018-04-01,PCPFFS,,Payer CA,719426
2018-04-01,PCPFFS,,Payer CO,290
2018-04-01,PCPFFS,,Payer F,748140
2018-04-01,PCPFFS,,Payer O,52764
2018-04-01,PCPFFS,,Payer UN,15073
2018-04-01,PCPFFS,,Payer W,82910
2018-04-01,PCPFFS,,Payer H,544259
2018-04-01,PCPFFS,neurology,Payer UN,1309
2018-04-01,PCPFFS,oncology hematology,Payer UN,64
2018-04-01,PCPFFS,ophthalmology,Payer UN,628
2018-04-01,PCPFFS,optometry,Payer UN,716
2018-04-01,PCPFFS,surgery orthopedic,Payer UN,1903
2018-04-01,PCPFFS,osteopath,Payer H,6829
2018-04-01,PCPFFS,,Payer UN,4879
2018-04-01,PCPFFS,pathology,Payer UN,2464
2018-04-01,PCPFFS,therapy physical,Payer UN,1331
2018-04-01,PCPFFS,physical,Payer CA,6381
2018-04-01,PCPFFS,pediatric,Payer UN,2064
2018-04-01,PCPFFS,radiology,Payer UN,13079
2018-04-01,PCPFFS,radiology diagnostic,Payer UN,17218
2018-04-01,SNFServices,,Payer F,49484
2018-04-01,SNFServices,,Payer O,5573
2018-04-01,SNFServices,,Payer CA,8939
2018-04-01,SNFServices,anesthesiology,Payer CA,1115
2018-04-01,SNFServices,anesthesiology,Payer O,874
2018-04-01,SNFServices,,Payer CA,12227
2018-04-01,SNFServices,surgery cardiovascular,Payer CA,650
2018-04-01,SNFServices,critical,Payer W,6038
2018-04-01,SNFServices,psychology,Payer UN,0
2018-04-01,SNFServices,family nurse,Payer CA,749
2018-04-01,SNFServices,family,Payer CA,13301
2018-04-01,SNFServices,family,Payer CO,1638
2018-04-01,SNFServices,family,Payer F,69130
2018-04-01,SNFServices,family,Payer O,19244
2018-04-01,SNFServices,family,Payer S,905
2018-04-01,SNFServices,family,Payer W,9268
2018-04-01,SNFServices,,Payer CA,14968
2018-04-01,SNFServices,,Payer F,1026
2018-04-01,SNFServices,,Payer W,3666
2018-04-01,SNFServices,surgery,Payer F,4713
2018-04-01,SNFServices,surgery,Payer O,710
2018-04-01,SNFServices,surgery,Payer W,695
2018-04-01,SNFServices,,Payer O,1501
2018-04-01,SNFServices,,Payer S,951
2018-04-01,SNFServices,,Payer W,1064
2018-04-01,SNFServices,,Payer F,1106
2018-04-01,SNFServices,infusion,Payer CA,8900
2018-04-01,SNFServices,,Payer CA,3507
2018-04-01,SNFServices,,Payer CO,3965
2018-04-01,SNFServices,,Payer F,5759
2018-04-01,SNFServices,,Payer O,4686
2018-04-01,SNFServices,infectious,Payer F,1353
2018-04-01,SNFServices,infectious,Payer CA,1129
2018-04-01,SNFServices,,Payer CA,22851
2018-04-01,SNFServices,,Payer CO,2306
2018-04-01,SNFServices,,Payer F,45325
2018-04-01,SNFServices,,Payer O,14246
2018-04-01,SNFServices,,Payer S,988
2018-04-01,SNFServices,,Payer UN,1575
2018-04-01,SNFServices,,Payer W,12705
2018-04-01,SNFServices,laboratory,Payer UN,215
2018-04-01,SNFServices,,Payer H,29872
2018-04-01,SNFServices,,Payer F,3300
2018-04-01,SNFServices,diagnostic,Payer CA,152
2018-04-01,SNFServices,neurology,Payer F,10253
2018-04-01,SNFServices,neurology,Payer O,517
2018-04-01,SNFServices,neurology,Payer CA,1387
2018-04-01,SNFServices,neurology,Payer UN,0
2018-04-01,SNFServices,nurse,Payer CA,8174
2018-04-01,SNFServices,nurse,Payer CO,768
2018-04-01,SNFServices,nurse,Payer H,19237
2018-04-01,SNFServices,,Payer W,2638
2018-04-01,SNFServices,rehab physical,Payer F,7420
2018-04-01,SNFServices,rehab physical,Payer O,1631
2018-04-01,SNFServices,rehab physical,Payer CA,7577
2018-04-01,SNFServices,therapy physical,Payer CA,1543
2018-04-01,SNFServices,physical,Payer H,447
2018-04-01,SNFServices,physical,Payer CA,2286
2018-04-01,SNFServices,pediatric,Payer CA,1414
2018-04-01,SNFServices,pediatric,Payer F,931
2018-04-01,SNFServices,psychiatry,Payer CA,0
2018-04-01,SNFServices,psychiatry,Payer W,2089
2018-04-01,SNFServices,pulmonary,Payer W,1756
2018-04-01,SNFServices,radiology,Payer CA,34
2018-04-01,SNFServices,nurse,Payer H,1291604
2018-04-01,SNFServices,nurse,Payer S,28365
2018-04-01,SNFServices,nurse,Payer CA,1146757
2018-04-01,SNFServices,nurse,Payer CO,79598
2018-04-01,SNFServices,nurse,Payer UN,41370
2018-04-01,SNFServices,nurse,Payer W,239106
2018-04-01,SNFServices,,Payer F,2240703
2018-04-01,SNFServices,,Payer O,774625
2018-04-01,SNFServices,,Payer H,4035
2018-04-01,SNFServices,urology,Payer O,349
